id,titulo,autor,genero,puntuacion
482,Ensayo sobre la ceguera,Curtis Smith,Realismo Mágico,1.9
483,Orgullo y prejuicio,Matthew Pitts,Experimental,3.5
484,Ulises,Charles Rose,Experimental,2.9
485,El Principito,Daniel Craig,Experimental,2.1
486,El perfume,Jose Rose,Biografía,3.9
487,Ulises,Don Stewart,Terror,4.9
488,A sangre fría,Jason Turner,Fábula,3.1
489,El psicoanalista,Michael Zhang,Biografía,4.2
490,Matar a un ruiseñor,Vickie Johnson,Aventura,1.2
491,Los juegos del hambre,Donna Chen,Dystopía,4.4
492,El perfume,Zoe Banks,Fantasía,5.0
493,Madame Bovary,Andrew Brown,Histórico,4.4
494,Drácula,Matthew Nelson,Thriller,3.8
495,Cometas en el cielo,Adam Sullivan,Thriller,4.8
496,La ladrona de libros,Suzanne Neal,Thriller,1.1
497,Fahrenheit 451,Jamie Gregory,Realismo Mágico,2.0
498,Juego de tronos,Jessica Knox,Experimental,3.7
499,Harry Potter y la piedra filosofal,Joseph Chavez,Drama,1.7
500,La insoportable levedad del ser,William Lewis,Fantasía,1.5
501,Ensayo sobre la ceguera,Brandon James,Drama,2.9
502,Cien años de soledad,Cindy Howell,Drama,1.4
503,La carretera,Ryan Flores,Dystopía,3.7
504,Drácula,Justin Leblanc,Biografía,1.1
505,Crimen y castigo,Christopher Mills,Drama,2.5
506,American Gods,Carla Mercado,Histórico,3.0
507,Cien años de soledad,William Long,Biografía,4.6
508,A sangre fría,Angelica Spencer,Thriller,1.9
509,La sombra del viento,Alexandra Koch,Thriller,1.9
510,El alquimista,Kristi Sellers,Realismo Mágico,5.0
511,Los pilares de la tierra,Sarah Ferguson,Realismo Mágico,1.1
512,Crimen y castigo,Diane Williams,Romance,1.0
513,1984,Cynthia Avery,Dystopía,4.4
514,El niño con el pijama de rayas,Erin Martinez,Realismo Mágico,1.1
515,It,Sarah Craig,Aventura,3.8
516,A sangre fría,Gary Hawkins,Biografía,3.8
517,El niño con el pijama de rayas,Tonya Mccann,Histórico,4.3
518,A sangre fría,David Garcia,Ciencia Ficción,2.4
519,Orgullo y prejuicio,Steven Baker,Experimental,1.3
520,Madame Bovary,Kenneth Brewer,Experimental,3.9
521,La carretera,Zachary Gilbert,Thriller,4.4
522,El código Da Vinci,Dustin Clark,Fábula,3.3
523,La insoportable levedad del ser,Brenda Case,Drama,3.9
524,La carretera,Sara Lopez,Aventura,3.8
525,El niño con el pijama de rayas,Cathy Giles,Misterio,1.7
526,El niño con el pijama de rayas,Raymond Hernandez,Misterio,2.1
527,La carretera,Amy Smith,Ciencia Ficción,2.9
528,Don Quijote de la Mancha,Brian Galvan,Romance,1.2
529,El señor de los anillos,Heather Sharp,Terror,1.3
530,Juego de tronos,Brenda Hill,Terror,2.6
531,Los pilares de la tierra,Theodore Everett,Experimental,4.4
532,Orgullo y prejuicio,Catherine Warner,Biografía,3.8
533,Madame Bovary,Robert Lewis,Terror,1.2
534,La chica del tren,Anthony Thomas,Biografía,1.3
535,Crimen y castigo,Amanda Rodgers,Fábula,1.8
536,Juego de tronos,Cynthia Jones MD,Fantasía,4.4
537,La insoportable levedad del ser,Kathleen Oconnell,Dystopía,3.6
538,El psicoanalista,Jay Day,Thriller,2.0
539,El alquimista,Stephen Lynch,Thriller,2.5
540,El Principito,Sarah Rivera,Fantasía,4.6
541,Juego de tronos,Samantha Griffin,Terror,4.4
542,La chica del tren,Pamela Silva,Realismo Mágico,3.4
543,El código Da Vinci,Linda Brandt,Experimental,4.0
544,Rayuela,Amber Weeks,Fábula,4.7
545,Juego de tronos,Beth Cochran,Biografía,1.7
546,Un mundo feliz,Jonathan Herring,Thriller,2.9
547,Los pilares de la tierra,Patrick Brown,Histórico,2.5
548,Matar a un ruiseñor,Stuart Oconnor,Terror,4.4
549,El señor de los anillos,Victoria Williams,Terror,1.3
550,Don Quijote de la Mancha,Kendra Brown,Fantasía,2.7
551,Frankenstein,Kelsey Allen,Fábula,1.1
552,Pedro Páramo,Tony Warner,Fantasía,2.0
553,Fahrenheit 451,James Durham,Histórico,1.3
554,El señor de los anillos,Daniel Evans,Fábula,2.3
555,El nombre del viento,Kelsey Bryan,Clásico,2.5
556,Anna Karenina,Brett Lopez,Realismo Mágico,4.2
557,La carretera,Teresa Gonzales,Romance,1.5
558,El Principito,Michele Williams,Drama,1.9
559,Anna Karenina,Alan Simpson,Dystopía,4.7
560,Harry Potter y la piedra filosofal,Barbara Miller,Dystopía,1.3
561,Matar a un ruiseñor,Terri White,Realismo Mágico,3.0
562,Pedro Páramo,Russell Molina,Clásico,4.1
563,Cometas en el cielo,Heather Hernandez,Fábula,3.6
564,Orgullo y prejuicio,Dawn Thompson,Dystopía,2.4
565,1984,Timothy Rivera,Realismo Mágico,2.5
566,Las aventuras de Sherlock Holmes,Darren Miller,Ciencia Ficción,2.1
567,El alquimista,Joe Ballard,Biografía,4.6
568,It,Cynthia Lopez,Biografía,3.5
569,El amor en los tiempos del cólera,Amber Allen,Misterio,2.7
570,La carretera,Kimberly Henson,Aventura,3.4
571,El alquimista,Amanda Webster,Thriller,3.2
572,La insoportable levedad del ser,Linda Cox,Histórico,4.1
573,Cien años de soledad,Steven Alvarez,Dystopía,2.5
574,Rayuela,Christopher Rodriguez,Realismo Mágico,1.3
575,1984,Tiffany Willis,Aventura,2.7
576,Los juegos del hambre,Crystal Morse,Realismo Mágico,2.0
577,El nombre del viento,David Schwartz,Clásico,3.4
578,A sangre fría,Samuel Hall,Dystopía,4.0
579,Cometas en el cielo,Tom Wilson,Ciencia Ficción,1.7
580,El Principito,Brenda Schwartz,Ciencia Ficción,1.4
581,La ladrona de libros,Mark Barber,Terror,1.3
582,Anna Karenina,Stacy Roberts,Fábula,2.4
583,El psicoanalista,Alexa Watson,Fábula,1.8
584,Crimen y castigo,Thomas Michael,Thriller,2.4
585,1984,Joy Jones,Fantasía,4.8
586,Cien años de soledad,Veronica Perry,Clásico,1.6
587,La sombra del viento,Ryan Snyder,Drama,1.4
588,Rayuela,Colleen Curtis,Romance,2.2
589,Fahrenheit 451,Sarah Walsh,Realismo Mágico,3.8
590,It,Jeffrey Vargas,Experimental,2.3
591,El código Da Vinci,John Smith MD,Dystopía,3.6
592,Los juegos del hambre,Albert Porter,Fábula,3.0
593,Anna Karenina,Scott Matthews,Dystopía,2.9
594,Juego de tronos,Alan Jones,Drama,4.8
595,Fahrenheit 451,Rebekah Mcintyre,Fábula,1.9
596,El señor de los anillos,Deborah Roberts,Clásico,1.4
597,1984,Brett Hunt,Histórico,3.9
598,La ladrona de libros,Charles Henderson,Fábula,2.0
599,La insoportable levedad del ser,Rachel Kelly,Fantasía,2.6
600,El niño con el pijama de rayas,Lisa Martinez DVM,Realismo Mágico,3.3
601,La chica del tren,Brian Peterson,Aventura,1.2
602,Matar a un ruiseñor,Christopher Martinez,Clásico,4.3
603,Frankenstein,Brianna Porter,Aventura,2.4
604,El alquimista,Casey Curtis,Thriller,3.0
605,Ulises,Kimberly Brooks,Thriller,3.8
606,La chica del tren,Stephanie Patton,Drama,3.2
607,Un mundo feliz,Linda Thomas,Ciencia Ficción,3.9
608,Cien años de soledad,Hannah Smith,Thriller,4.8
609,American Gods,Nicholas Wolfe,Fábula,3.1
610,Fahrenheit 451,Victoria Franklin,Dystopía,4.4
611,A sangre fría,Melissa Cole,Aventura,3.5
612,El nombre del viento,Kim Medina,Ciencia Ficción,4.7
613,Un mundo feliz,Danielle Hammond,Romance,3.6
614,El Principito,Anthony Davis,Histórico,2.4
615,Madame Bovary,Barbara Mckee,Realismo Mágico,2.5
616,1984,Kayla Powers,Terror,3.5
617,Fahrenheit 451,Nicholas Mccall,Ciencia Ficción,1.1
618,Harry Potter y la piedra filosofal,Hannah Smith,Thriller,1.3
619,Ulises,Kristina Garcia,Fábula,4.9
620,Las crónicas de Narnia,Brian Miller,Drama,2.4
621,Ensayo sobre la ceguera,Lucas Baker,Misterio,2.0
622,La carretera,Christopher Ramsey,Ciencia Ficción,1.9
623,Las crónicas de Narnia,Shannon James,Drama,1.3
624,Matar a un ruiseñor,Roger Torres,Drama,2.5
625,El amor en los tiempos del cólera,Wendy Hamilton,Ciencia Ficción,2.5
626,El psicoanalista,Jose Turner,Realismo Mágico,1.6
627,Matar a un ruiseñor,Michael Chan,Aventura,3.7
628,Los pilares de la tierra,Anna Smith,Thriller,3.6
629,El Principito,Courtney Francis,Clásico,4.1
630,American Gods,Victoria Rodriguez,Realismo Mágico,3.9
631,Los pilares de la tierra,Deborah Brown,Fantasía,2.1
632,El nombre del viento,Elizabeth Porter,Romance,4.5
633,Las aventuras de Sherlock Holmes,Jane Morrison,Ciencia Ficción,4.0
634,Don Quijote de la Mancha,Michelle Barker,Fábula,2.2
635,El nombre del viento,Steven Reed,Histórico,4.6
636,El señor de los anillos,Michael Li,Terror,4.3
637,Pedro Páramo,Michael Cruz,Histórico,4.8
638,El nombre del viento,Tyler Martin,Ciencia Ficción,1.9
639,La ladrona de libros,Timothy Jones,Dystopía,1.0
640,Harry Potter y la piedra filosofal,Rodney Sweeney,Fábula,2.9
641,Un mundo feliz,Sydney Schaefer,Terror,3.7
642,Ensayo sobre la ceguera,Caitlin Ellis,Thriller,4.9
643,La carretera,Jennifer Clark,Terror,2.3
644,Don Quijote de la Mancha,Amanda Brown,Experimental,3.2
645,El código Da Vinci,Sean Smith,Drama,2.1
646,El señor de los anillos,Michelle Blankenship,Fantasía,4.7
647,Pedro Páramo,Casey Haynes,Clásico,4.4
648,Juego de tronos,Sandra Gutierrez,Fantasía,3.1
649,El perfume,Jennifer Green,Drama,4.9
650,Drácula,Jason Ortiz,Romance,4.0
651,Orgullo y prejuicio,Nicole Jimenez,Aventura,2.4
652,El amor en los tiempos del cólera,Robert Vasquez,Romance,4.2
653,Los juegos del hambre,Michael Anderson,Dystopía,2.6
654,Ensayo sobre la ceguera,Scott Smith,Clásico,2.2
655,Don Quijote de la Mancha,Donald White,Misterio,4.3
656,El código Da Vinci,Katie Hughes,Experimental,4.2
657,Los juegos del hambre,Ryan Brown,Misterio,1.1
658,El Principito,Jaime Taylor,Ciencia Ficción,2.0
659,Anna Karenina,Jonathan Jackson,Ciencia Ficción,1.3
660,Juego de tronos,Craig Evans,Aventura,4.3
661,Crimen y castigo,Wanda Jones,Fantasía,2.2
662,Las crónicas de Narnia,Riley Turner,Realismo Mágico,3.1
663,La insoportable levedad del ser,Ronald Webb,Histórico,4.8
664,Los juegos del hambre,Jennifer Torres,Fábula,1.8
665,Los pilares de la tierra,Lindsay Wilkins,Dystopía,2.9
666,Pedro Páramo,George Boyer,Misterio,4.5
667,El amor en los tiempos del cólera,Jennifer Olson,Fábula,1.6
668,El nombre del viento,Veronica Madden,Experimental,1.6
669,Drácula,Kathryn Baker,Dystopía,2.5
670,Rayuela,Jonathan Manning,Terror,3.4
671,Pedro Páramo,Jonathan Howard,Experimental,4.2
672,Madame Bovary,Roy Reynolds,Fábula,3.7
673,Anna Karenina,Joshua Bell,Ciencia Ficción,4.3
674,Frankenstein,Linda Long,Aventura,1.3
675,El Principito,Melissa Jones,Histórico,2.4
676,La ladrona de libros,Jennifer Grimes,Drama,2.4
677,La insoportable levedad del ser,Matthew Smith,Dystopía,3.6
678,Fahrenheit 451,Meghan Robinson,Ciencia Ficción,4.3
679,Anna Karenina,Terry Jones,Terror,3.2
680,Harry Potter y la piedra filosofal,Donna Barnes,Experimental,2.9
681,La chica del tren,David Medina,Misterio,1.7
682,Orgullo y prejuicio,Andrea Brown,Drama,3.2
683,El niño con el pijama de rayas,Troy Adams,Realismo Mágico,4.3
684,El señor de los anillos,Karen Davis,Terror,4.4
685,La sombra del viento,Andrew Wong III,Terror,4.9
686,El niño con el pijama de rayas,Lindsay Holloway,Aventura,3.7
687,El alquimista,Corey Taylor,Terror,1.3
688,Las crónicas de Narnia,Kimberly Morales,Fantasía,2.7
689,Cometas en el cielo,Yolanda Hughes,Biografía,4.7
690,Cien años de soledad,Steven Perez,Dystopía,4.7
691,Un mundo feliz,Bradley Anderson,Histórico,2.1
692,Cien años de soledad,Jaime May,Clásico,2.8
693,Don Quijote de la Mancha,Diane Brown,Dystopía,3.6
694,Los juegos del hambre,Melissa Hawkins,Thriller,3.7
695,Orgullo y prejuicio,John Perry,Aventura,1.4
696,Un mundo feliz,Michaela Jimenez,Histórico,3.6
697,El nombre del viento,Kimberly Walker,Romance,1.9
698,El código Da Vinci,Jerry Park,Aventura,4.0
699,Las aventuras de Sherlock Holmes,Michael Short,Fantasía,2.0
700,Drácula,Dr. Amy Wood,Aventura,2.3
701,Crimen y castigo,Ronnie Burns,Dystopía,1.3
702,Pedro Páramo,Lisa Day,Romance,2.1
703,Frankenstein,Melissa Salinas,Biografía,4.5
704,El amor en los tiempos del cólera,Christian Mercer,Histórico,2.5
705,La chica del tren,Paul Villanueva,Experimental,2.9
706,Los juegos del hambre,Marc Harris,Dystopía,4.1
707,La carretera,Daniel Williams,Romance,4.8
708,El nombre del viento,Benjamin Martin,Experimental,1.6
709,El Principito,Jacqueline Brooks,Ciencia Ficción,1.8
710,Don Quijote de la Mancha,Angela Roman,Realismo Mágico,1.0
711,Don Quijote de la Mancha,Joshua Campbell,Biografía,1.9
712,Un mundo feliz,Aaron Taylor,Clásico,3.4
713,La chica del tren,Jack Griffith,Ciencia Ficción,3.5
714,Cometas en el cielo,David Patterson,Dystopía,4.0
715,Harry Potter y la piedra filosofal,Keith Diaz,Ciencia Ficción,2.0
716,El código Da Vinci,Jillian Palmer,Fantasía,3.4
717,El código Da Vinci,Kristy Griffin,Romance,4.4
718,American Gods,Mark Barajas,Aventura,4.7
719,Pedro Páramo,Julia Jimenez,Experimental,3.8
720,Un mundo feliz,Dr. Melissa King,Terror,3.0
721,Drácula,Zachary Vega,Fábula,2.2
722,El amor en los tiempos del cólera,Denise Hartman,Drama,2.0
723,Frankenstein,Terri Fields,Thriller,2.9
724,La ladrona de libros,Nathan Blackwell,Realismo Mágico,4.3
725,Las crónicas de Narnia,Randy Torres,Romance,1.2
726,El niño con el pijama de rayas,Robert Obrien,Experimental,2.0
727,Rayuela,Luke Rodriguez,Thriller,2.2
728,Un mundo feliz,Andrew Anderson,Aventura,1.1
729,La insoportable levedad del ser,Teresa Anderson,Histórico,1.9
730,La sombra del viento,Sheena Cline,Experimental,4.1
731,El niño con el pijama de rayas,Dr. Danielle Sandoval,Ciencia Ficción,4.4
732,La insoportable levedad del ser,Christina Gomez,Histórico,4.3
733,El Principito,Adrian Russo,Histórico,1.8
734,It,Maurice Jennings,Misterio,1.8
735,La chica del tren,Ryan Perez,Dystopía,1.6
736,Fahrenheit 451,Charles Reyes,Drama,1.4
737,La chica del tren,Joseph Mcclain,Realismo Mágico,2.9
738,Ulises,William Kelly,Biografía,4.7
739,Harry Potter y la piedra filosofal,Eric Garrison,Clásico,4.7
740,La sombra del viento,Crystal Phillips,Experimental,1.5
741,Ulises,Sarah Mills,Histórico,3.3
742,La ladrona de libros,Jeffrey Small,Dystopía,2.6
743,Juego de tronos,Samantha Hart,Experimental,3.0
744,Drácula,Jessica Haynes,Misterio,2.3
745,Rayuela,Dr. Jackie Hernandez,Terror,3.7
746,American Gods,Barbara Bradley,Terror,3.0
747,El psicoanalista,Yolanda Morrison,Clásico,3.7
748,Cometas en el cielo,Elizabeth Fernandez,Fábula,4.5
749,El psicoanalista,Carlos Sweeney,Biografía,4.9
750,El niño con el pijama de rayas,Ashley Rodriguez,Fábula,5.0
751,Madame Bovary,Jeffrey Dawson,Thriller,3.1
752,El señor de los anillos,Debra Haley,Biografía,1.0
753,Un mundo feliz,Curtis Vega,Fábula,4.9
754,El código Da Vinci,Hannah Owens,Thriller,4.4
755,El nombre del viento,Miranda Allen,Aventura,2.5
756,Matar a un ruiseñor,Emily Sanders,Ciencia Ficción,2.6
757,Cometas en el cielo,Scott Lloyd,Fantasía,1.9
758,El Principito,Sandy Peterson,Misterio,1.8
759,Pedro Páramo,Sarah Buck,Clásico,4.6
760,El amor en los tiempos del cólera,Jose Jones,Biografía,2.0
761,El señor de los anillos,Jose Ruiz,Drama,1.5
762,It,Michael Ellis,Experimental,1.9
763,La sombra del viento,Thomas Edwards Jr.,Aventura,1.8
764,El Principito,Gina Palmer,Romance,3.2
765,It,Dustin Miller,Ciencia Ficción,3.1
766,La carretera,Sarah Good,Experimental,4.2
767,1984,Steven Roberts,Aventura,2.4
768,Don Quijote de la Mancha,James Hernandez,Romance,4.4
769,La sombra del viento,Dr. Amber Bailey,Aventura,4.3
770,Juego de tronos,Bethany Shelton,Fábula,4.2
771,Los juegos del hambre,Aaron Allen,Clásico,1.8
772,Los juegos del hambre,Kevin Scott,Fantasía,3.3
773,Las crónicas de Narnia,Joe Porter,Experimental,3.1
774,El amor en los tiempos del cólera,Andre Chambers,Drama,4.0
775,La chica del tren,Ms. Samantha Thomas,Biografía,3.7
776,Madame Bovary,Angela Greene,Thriller,4.4
777,Rayuela,Richard Johnson,Ciencia Ficción,1.7
778,Madame Bovary,Alan Elliott,Fantasía,3.4
779,Las aventuras de Sherlock Holmes,Rebekah Garcia,Drama,4.1
780,Cometas en el cielo,Cynthia Todd,Experimental,1.1
781,Drácula,Erik Thompson,Ciencia Ficción,3.2
782,Los pilares de la tierra,Cristian Soto,Fábula,2.3
783,El alquimista,Timothy Taylor II,Drama,4.1
784,Las aventuras de Sherlock Holmes,Dawn Proctor,Aventura,2.5
785,Don Quijote de la Mancha,James Burns,Realismo Mágico,4.7
786,La sombra del viento,Joseph Garrison,Misterio,3.2
787,Orgullo y prejuicio,Dr. Belinda Brock,Thriller,2.3
788,Cien años de soledad,Matthew Johnson,Thriller,1.1
789,El alquimista,Diane Donovan DVM,Misterio,2.3
790,Anna Karenina,Randall Bryant,Romance,2.6
791,El señor de los anillos,Joshua Clark,Dystopía,4.1
792,Ensayo sobre la ceguera,Jordan Lewis,Experimental,4.0
793,Los pilares de la tierra,Roy Kramer,Fantasía,1.6
794,Madame Bovary,Sean Kirk,Experimental,1.2
795,La chica del tren,Grace Wilson,Romance,2.5
796,El alquimista,Patricia Farmer,Experimental,4.8
797,La chica del tren,Alexandria Washington,Aventura,2.6
798,Las aventuras de Sherlock Holmes,Jamie Curtis,Histórico,3.1
799,El señor de los anillos,David Mcclain,Fábula,2.0
800,1984,Heather Mcintosh,Aventura,1.3
801,Drácula,William Mitchell,Histórico,1.2
802,Orgullo y prejuicio,Jackie Murphy,Histórico,4.5
803,Frankenstein,Luis Sims,Clásico,4.4
804,El código Da Vinci,Richard Robertson,Aventura,3.4
805,Los pilares de la tierra,Ms. Casey Hayes,Romance,2.1
806,Rayuela,Lisa George,Clásico,2.4
807,Frankenstein,Jennifer Edwards,Fantasía,3.5
808,Rayuela,Desiree Cook,Dystopía,2.8
809,La insoportable levedad del ser,Eric Mullins,Dystopía,1.1
810,Juego de tronos,Brandon Murphy,Realismo Mágico,3.6
811,Los pilares de la tierra,Scott Warren,Fantasía,4.6
812,1984,Christopher Moore,Drama,4.1
813,El amor en los tiempos del cólera,Timothy Shah,Histórico,2.6
814,Harry Potter y la piedra filosofal,John Gutierrez,Terror,2.3
815,El nombre del viento,Matthew Hunt,Thriller,4.9
816,American Gods,Ronald Holmes,Fantasía,1.6
817,Drácula,Michele Anderson,Realismo Mágico,4.1
818,Ulises,Rebecca Crawford,Terror,3.3
819,La ladrona de libros,Ashley Lane,Thriller,1.0
820,1984,Lori George DVM,Thriller,2.4
821,Cometas en el cielo,Tara Sanchez,Biografía,2.1
822,Las crónicas de Narnia,Nichole Barnes,Experimental,4.5
823,El amor en los tiempos del cólera,Frederick Reynolds,Terror,4.0
824,It,Rebecca Barnes,Experimental,3.1
825,It,Christina Davis,Experimental,3.0
826,La ladrona de libros,Kevin King,Clásico,4.2
827,Madame Bovary,Matthew Stevens,Fantasía,3.9
828,Las aventuras de Sherlock Holmes,Stephen Martinez,Misterio,3.4
829,Cien años de soledad,Dr. Sabrina Fischer MD,Histórico,4.9
830,Frankenstein,Anthony Garner,Fantasía,4.1
831,Drácula,Jodi Martinez,Romance,3.2
832,Cien años de soledad,Michael Garrison,Ciencia Ficción,4.6
833,La carretera,Dr. William Guzman MD,Thriller,3.8
834,El código Da Vinci,Timothy Baker,Misterio,1.9
835,El alquimista,Joshua Hall,Experimental,4.2
836,Ensayo sobre la ceguera,Elizabeth Robinson,Terror,1.3
837,La insoportable levedad del ser,Teresa Johnson,Fábula,3.0
838,1984,Kimberly Cooper,Clásico,3.5
839,El código Da Vinci,David Thompson,Fábula,1.5
840,El amor en los tiempos del cólera,Garrett Smith,Misterio,1.7
841,Ensayo sobre la ceguera,Mr. Benjamin Cantrell,Drama,3.0
842,Los juegos del hambre,Willie Ortiz,Misterio,1.2
843,La carretera,Rebecca Myers,Dystopía,4.8
844,El Principito,Jeremy Johnson,Biografía,2.9
845,Ulises,Tracy Hill,Thriller,1.3
846,El señor de los anillos,Jacob Duncan,Aventura,1.9
847,El psicoanalista,Madison Edwards,Romance,3.4
848,Las aventuras de Sherlock Holmes,Martha Brown,Ciencia Ficción,2.8
849,Ensayo sobre la ceguera,Jade Clark,Clásico,5.0
850,Drácula,Brooke Simon,Realismo Mágico,3.7
851,Cometas en el cielo,Robert Chan,Drama,2.9
852,El nombre del viento,Spencer Dennis,Histórico,3.1
853,Orgullo y prejuicio,Jacob Dyer,Dystopía,2.4
854,Fahrenheit 451,Lisa Ali,Fábula,2.7
855,Pedro Páramo,Andrea Carroll,Ciencia Ficción,2.8
856,A sangre fría,Cody Williams,Thriller,3.5
857,Un mundo feliz,Holly Michael,Fábula,3.8
858,El código Da Vinci,Jennifer Dunlap,Terror,4.6
859,Matar a un ruiseñor,Michael Rios,Histórico,1.2
860,Orgullo y prejuicio,Ashley Richardson,Ciencia Ficción,4.5
861,El alquimista,Jonathon Campbell,Dystopía,1.3
862,Pedro Páramo,Jennifer Wood,Terror,4.3
863,La ladrona de libros,Samuel Bradley,Drama,3.4
864,Crimen y castigo,Peter Goodman,Romance,1.3
865,A sangre fría,Michael Bryant,Realismo Mágico,1.5
866,It,Stephanie Vang,Romance,3.8
867,Orgullo y prejuicio,Allison Duncan,Romance,1.2
868,Cometas en el cielo,Heather Miller,Misterio,1.7
869,American Gods,Tiffany Sutton,Histórico,4.0
870,Las aventuras de Sherlock Holmes,Paul Wade,Aventura,3.7
871,El niño con el pijama de rayas,Erica Smith,Misterio,4.5
872,Ulises,Aaron Johnston,Terror,1.7
873,El nombre del viento,Jill Mitchell,Experimental,1.5
874,Fahrenheit 451,Frank Giles,Biografía,2.6
875,Las aventuras de Sherlock Holmes,Erin Mcintyre,Misterio,1.3
876,El amor en los tiempos del cólera,Stacey Pace,Biografía,4.1
877,Un mundo feliz,Robert Pacheco,Romance,1.1
878,La ladrona de libros,Nicholas Williams,Fantasía,4.7
879,Juego de tronos,Kelsey Liu,Fábula,1.5
880,La chica del tren,Melanie Rogers,Aventura,1.2
881,Ensayo sobre la ceguera,Matthew Gonzalez,Terror,2.9
882,Un mundo feliz,Clayton Jordan,Fantasía,4.8
883,La chica del tren,Dawn Travis,Fantasía,2.5
884,American Gods,Steven Church,Biografía,3.9
885,Orgullo y prejuicio,Andrea White,Drama,5.0
886,Un mundo feliz,Michael Miller,Biografía,3.3
887,Las crónicas de Narnia,Hayden Jordan,Terror,3.0
888,Harry Potter y la piedra filosofal,Wendy Quinn,Fábula,3.0
889,Anna Karenina,Anna Miller,Experimental,4.8
890,Las crónicas de Narnia,Robert Gibbs,Terror,5.0
891,Orgullo y prejuicio,Billy Jackson,Histórico,1.2
892,Matar a un ruiseñor,Dustin Ortega,Drama,1.8
893,Matar a un ruiseñor,Douglas Tate,Fantasía,4.9
894,Ulises,Ashley Poole,Terror,4.3
895,Un mundo feliz,Brenda Campbell,Fantasía,4.1
896,El señor de los anillos,Jason Berger,Realismo Mágico,2.4
897,El amor en los tiempos del cólera,Perry Lyons,Fábula,4.6
898,La carretera,Denise Krueger,Realismo Mágico,3.1
899,Rayuela,James Taylor,Clásico,4.3
900,El Principito,Scott Morris,Ciencia Ficción,2.9
901,Fahrenheit 451,Jonathan Galloway,Fábula,1.2
902,Cien años de soledad,Jeremy Mercado,Realismo Mágico,1.8
903,El perfume,Adam Stanley,Terror,4.2
904,La insoportable levedad del ser,Justin Galloway,Romance,2.3
905,Las crónicas de Narnia,Tammy Johnson,Terror,1.5
906,El señor de los anillos,Derek Baker,Experimental,2.6
907,Un mundo feliz,Kenneth Chandler,Fábula,3.8
908,El señor de los anillos,Emma Roach,Experimental,4.3
909,Orgullo y prejuicio,Julia Miller,Fábula,4.2
910,El nombre del viento,Nicole Acosta,Ciencia Ficción,3.6
911,Los pilares de la tierra,Katie Parker,Romance,3.5
912,Orgullo y prejuicio,Mr. John Marshall Jr.,Dystopía,1.8
913,La insoportable levedad del ser,Daniel Jones Jr.,Fábula,1.8
914,1984,Brian Brewer Jr.,Aventura,4.4
915,Frankenstein,Carmen Garcia,Romance,4.9
916,Ulises,Amber Casey,Aventura,1.9
917,El alquimista,Brandi Cabrera,Aventura,2.3
918,El perfume,Gregory Wilson,Fantasía,3.0
919,El señor de los anillos,Bailey Baker,Fábula,4.3
920,Orgullo y prejuicio,Jeremiah Kelly,Romance,1.5
921,1984,Alison Simpson,Fantasía,2.5
922,Orgullo y prejuicio,Nicholas Lopez,Dystopía,4.0
923,La sombra del viento,Elizabeth Pena,Drama,1.2
924,Harry Potter y la piedra filosofal,Kristen Miller,Aventura,2.0
925,Las crónicas de Narnia,James Sanders,Misterio,2.1
926,Frankenstein,Ian Hawkins,Experimental,2.3
927,Frankenstein,Holly Edwards,Romance,1.6
928,Frankenstein,Dylan Wilson,Thriller,1.4
929,Los pilares de la tierra,Carolyn Gonzales,Realismo Mágico,4.9
930,Un mundo feliz,Cynthia Jensen,Biografía,1.8
931,It,Cynthia Jenkins,Fantasía,3.9
932,Las crónicas de Narnia,Zachary Ward,Romance,4.4
933,La ladrona de libros,Austin Parker,Ciencia Ficción,2.1
934,La insoportable levedad del ser,Joshua Harrison,Fábula,1.2
935,Ensayo sobre la ceguera,Laura Brooks,Dystopía,4.5
936,Crimen y castigo,Sheri Alexander,Clásico,1.4
937,A sangre fría,Jason James,Romance,4.0
938,Cien años de soledad,Jonathan Nunez,Drama,1.5
939,Orgullo y prejuicio,Stephanie Matthews,Thriller,3.0
940,Orgullo y prejuicio,Dr. Ethan Donaldson,Aventura,2.3
941,El nombre del viento,Robert Thompson,Drama,3.3
942,El perfume,Jo White,Experimental,4.9
943,Orgullo y prejuicio,Clifford Adams,Biografía,4.4
944,Frankenstein,Jill Shaw,Realismo Mágico,4.7
945,La ladrona de libros,Robert Hill,Thriller,1.4
946,El amor en los tiempos del cólera,Connie Estrada,Fantasía,3.7
947,Madame Bovary,Anthony Newman,Fábula,3.1
948,Rayuela,Joshua Wright,Clásico,3.9
949,El alquimista,Michael Yates,Aventura,2.0
950,American Gods,Michael Harrington,Terror,3.2
951,Las aventuras de Sherlock Holmes,Michelle Miller,Romance,4.6
952,Cometas en el cielo,Robert Kelly,Terror,4.5
953,Cien años de soledad,James Harris,Fantasía,3.2
954,Anna Karenina,Katelyn Hensley,Realismo Mágico,2.7
955,Los pilares de la tierra,Rebecca Prince,Terror,1.6
956,Madame Bovary,Vanessa Walton,Terror,4.4
957,Pedro Páramo,Tamara Wall,Experimental,2.7
958,Juego de tronos,Katherine Clements,Misterio,3.0
959,El niño con el pijama de rayas,Ashley Vasquez,Aventura,2.6
960,El amor en los tiempos del cólera,Lori Alvarez,Experimental,4.2
961,Rayuela,Tamara Rivera,Ciencia Ficción,1.4
962,A sangre fría,Joshua Poole,Misterio,4.1
963,La insoportable levedad del ser,Catherine Wong,Experimental,3.4
